title,author,length
Hábitos atómicos,James Clear,9 hrs and 1 min
The Hero of Ages,Brandon Sanderson,27 hrs and 25 mins
Haunting Adeline,H. D. Carlton,15 hrs and 48 mins
Nightlord: Penumbra,Garon Whited,44 hrs and 6 mins
The Path of Ascension 4,C. Mantis,16 hrs and 57 mins
The Hobbit,J. R. R. Tolkien,11 hrs and 5 mins
A Game of Thrones,George R.R. Martin,33 hrs and 46 mins
What's Left Unsaid,Melissa DeRosa,9 hrs
Lessons in Chemistry,Bonnie Garmus,11 hrs and 55 mins
Leslie F*cking Jones,Leslie Jones,16 hrs and 32 mins
A Vengeful Realm,Tim Facciola,16 hrs and 6 mins
A Single Soul,L.A. Witt,4 hrs and 3 mins
First Strike,Craig Alanson,16 hrs and 37 mins
Zoey Is Too Drunk for This Dystopia,Jason Pargin,15 hrs and 4 mins
Always Legion,Jason Anspach,9 hrs and 53 mins
Exiled Heir,Kai Butler,13 hrs and 15 mins
Freed,E. L. James,27 hrs and 15 mins
Relentless,Mark Greaney,15 hrs and 39 mins
How Not to Age,Michael Greger MD FACLM,27 hrs and 58 mins
"Overlord, Vol. 10",Kugane Maruyama,11 hrs and 7 mins
How to Know a Person,David Brooks,7 hrs and 27 mins
Five Lies of Our Anti-Christian Age,Rosaria Butterfield,11 hrs and 33 mins
The Covenant of Water,Abraham Verghese,31 hrs and 16 mins
A Court of Mist and Fury (Part 1 of 2) (Dramatized Adaptation),Sarah J. Maas,8 hrs and 26 mins
A Court of Silver Flames (Part 1 of 2) (Dramatized Adaptation),Sarah J. Maas,10 hrs
Clive Cussler: The Corsican Shadow,Dirk Cussler,12 hrs and 5 mins
Fae and Fare,pirateaba,61 hrs and 4 mins
Defiance of the Fall 4: A LitRPG Adventure,TheFirstDefier,22 hrs and 47 mins
Avatar: The Last Airbender: The Rise of Kyoshi,F. C. Yee,14 hrs and 30 mins
The Fall of Hyperion,Dan Simmons,21 hrs and 45 mins
Inherited Revenge,James Haddock,8 hrs and 34 mins
Breaking the Habit of Being Yourself,Joe Dispenza,10 hrs and 49 mins
"Change Your Thoughts, Change Your Life",Dr. Wayne W. Dyer,9 hrs and 9 mins
The Pumpkin Spice Café,Laurie Gilmore,7 hrs and 3 mins
The 4-Hour Body,Timothy Ferriss,3 hrs and 51 mins
Fourth Wing,Rebecca Yarros,20 hrs and 43 mins
The Lord of the End Times,Josh Reynolds,16 hrs and 44 mins
Verity,Colleen Hoover,8 hrs and 10 mins
A Kingdom of Flesh and Fire,Jennifer L. Armentrout,24 hrs and 21 mins
Ready Player One,Ernest Cline,15 hrs and 40 mins
Corrupt,Penelope Douglas,14 hrs and 37 mins
The Fiery Cross,Diana Gabaldon,55 hrs and 30 mins
Only the Dead,Jack Carr,15 hrs and 17 mins
Thunderhead,Neal Shusterman,13 hrs and 2 mins
Unfu*k Yourself,Gary John Bishop,3 hrs and 24 mins
Becoming Supernatural,Joe Dispenza,14 hrs and 6 mins
The Tower of Swallows,Andrzej Sapkowski,16 hrs and 25 mins
The Last Devil to Die,Richard Osman,10 hrs and 51 mins
Stranger in the Woods,Anni Taylor,13 hrs and 57 mins
Tough Crowd,Graham Linehan,7 hrs and 46 mins
The Rise and Fall of the Third Reich,William L. Shirer,57 hrs and 11 mins
He Who Fights with Monsters 7,Shirtaloon,18 hrs and 39 mins
The Dark Tower,Stephen King,28 hrs and 50 mins
The Butcher's Masquerade,Matt Dinniman,23 hrs and 33 mins
Hello Beautiful,Ann Napolitano,15 hrs and 6 mins
Hidden Potential,Adam Grant,7 hrs and 21 mins
Sherlock Holmes and Count Dracula,Christian Klaver,12 hrs and 3 mins
The Hunger Games: Special Edition,Suzanne Collins,10 hrs and 35 mins
The Penthouse Affair,Kendall Ryan,9 hrs and 4 mins
Rich Dad Poor Dad: 20th Anniversary Edition,Robert T. Kiyosaki,8 hrs and 22 mins
A Feast for Crows,George R.R. Martin,33 hrs and 51 mins
Under Saturn's Shadow,James Hollis,5 hrs and 31 mins
Beware of Chicken 3: A Xianxia Cultivation Novel,Casualfarmer,23 hrs and 2 mins
The Girls in the Falls,Elle Gray,7 hrs and 10 mins
Rebel Obsession,Elle Thorpe,10 hrs and 28 mins
Voyager,Diana Gabaldon,43 hrs and 46 mins
The Return of the King,J. R. R. Tolkien,18 hrs and 19 mins
"Raising Kids with Big, Baffling Behaviors",Robyn Gobbel,10 hrs
Break Me,K. A. Tucker,8 hrs and 11 mins
"Listener's Audio Bible—New International Version, NIV: Complete Bible",Max McLean,75 hrs and 14 mins
The Love Galore Mixtape,Alexandria House,37 mins
Throne of Glass,Sarah J. Maas,13 hrs and 3 mins
